Game,Player1,Player2,groundtruth,theta1,theta2,L1,L2,SQ_Q,ACQ1_Q,ACQ2_Q,NEGO_Q,CAP1_Q,CAP2_Q,WAR1_Q,WAR2_Q,MAX_Quantum,SQ_C,ACQ1_C,ACQ2_C,NEGO_C,CAP1_C,CAP2_C,WAR1_C,WAR2_C,MAX_Classical
91,SLV,ITA,SQ,5.1,1.5,1,1,0.0386665882873696,0.07335731791502387,0.07058327083518716,0.09300786814867343,0.0463932543354938,0.07504013442886219,0.5559498521042584,0.04700171394513142,WAR1,0.1425556639732911,0.23904379676316012,0.061446998260210745,0.13681841404436842,0.07533774848643011,0.031927830975925615,0.23654372482371816,0.07632582267289563,ACQ1
91,SLV,ITA,SQ,5.1,1.51,1,1,0.03774719454658062,0.07222356918499624,0.0710009456011132,0.09250113167796761,0.04635084282290176,0.07530504855470797,0.5579125214172234,0.04695874619450939,WAR1,0.1425556639732911,0.23904379676316012,0.061446998260210745,0.13681841404436842,0.07533774848643011,0.031927830975925615,0.23654372482371816,0.07632582267289563,ACQ1
91,SLV,ITA,SQ,5.1,1.52,1,1,0.03686918422886636,0.07114471704636874,0.07140593111796645,0.09199039966698719,0.04631075182259552,0.07555994131188412,0.5598009454150357,0.046918129390295965,WAR1,0.1425556639732911,0.23904379676316012,0.061446998260210745,0.13681841404436842,0.07533774848643011,0.031927830975925615,0.23654372482371816,0.07632582267289563,ACQ1
91,SLV,ITA,SQ,5.1,1.53,1,1,0.03603178626602867,0.07012008714674721,0.07179804071887534,0.09147614765921068,0.04627322974413957,0.075804890770353,0.561615702494634,0.04688011520001176,WAR1,0.1425556639732911,0.23904379676316012,0.061446998260210745,0.13681841404436842,0.07533774848643011,0.031927830975925615,0.23654372482371816,0.07632582267289563,ACQ1
91,SLV,ITA,SQ,5.1,1.54,1,1,0.035234193336913855,0.06914894431348413,0.07217710183502525,0.09095885165796866,0.046238527679327464,0.07603998417101432,0.5633574389976815,0.04684495800858455,WAR1,0.1425556639732911,0.23904379676316012,0.061446998260210745,0.13681841404436842,0.07533774848643011,0.031927830975925615,0.23654372482371816,0.07632582267289563,ACQ1
91,SLV,ITA,SQ,5.1,1.55,1,1,0.03447556781955245,0.06823049794658427,0.0725429557421097,0.09043898665800607,0.04620689872634996,0.07626531694308866,0.5650268619306551,0.04681291423365378,WAR1,0.1425556639732911,0.23904379676316012,0.061446998260210745,0.13681841404436842,0.07533774848643011,0.031927830975925615,0.23654372482371816,0.07632582267289563,ACQ1
91,SLV,ITA,SQ,5.1,1.56,1,1,0.03375504745287187,0.0673639072856278,0.0728954573335952,0.08991702526916326,0.046178597328722405,0.07648099175334369,0.566624731920848,0.04678424165582774,WAR1,0.1425556639732911,0.23904379676316012,0.061446998260210745,0.13681841404436842,0.07533774848643011,0.031927830975925615,0.23654372482371816,0.07632582267289563,ACQ1
91,SLV,ITA,SQ,5.1,1.57,1,1,0.033071750681244,0.06654828652304348,0.07323447492687461,0.08939343643018655,0.04615387862794296,0.07668711759339596,0.5681518564544608,0.046759198762851756,WAR1,0.1425556639732911,0.23904379676316012,0.061446998260210745,0.13681841404436842,0.07533774848643011,0.031927830975925615,0.23654372482371816,0.07632582267289563,ACQ1
91,SLV,ITA,SQ,5.1,1.58,1,1,0.0324247816607535,0.06578270974131499,0.073559890107227,0.08886868420893668,0.046132997828492686,0.07688380891045409,0.5696090834365409,0.04673804410628016,WAR1,0.1425556639732911,0.23904379676316012,0.061446998260210745,0.13681841404436842,0.07533774848643011,0.031927830975925615,0.23654372482371816,0.07632582267289563,ACQ1
91,SLV,ITA,SQ,5.1,1.59,1,1,0.0318132349115926,0.06506621565706353,0.07387159761320074,0.0883432266836828,0.046116209573528515,0.07707118478598506,0.5709972951059656,0.0467210356689811,WAR1,0.1425556639732911,0.23904379676316012,0.061446998260210745,0.13681841404436842,0.07533774848643011,0.031927830975925615,0.23654372482371816,0.07632582267289563,ACQ1
