Game,Player1,Player2,groundtruth,theta1,theta2,L1,L2,SQ_Q,ACQ1_Q,ACQ2_Q,NEGO_Q,CAP1_Q,CAP2_Q,WAR1_Q,WAR2_Q,MAX_Quantum,SQ_C,ACQ1_C,ACQ2_C,NEGO_C,CAP1_C,CAP2_C,WAR1_C,WAR2_C,MAX_Classical
337,xxx,xxx,Acq2,5.1,1.5,1,1,0.2323761000306969,0.04805624649780554,0.4235311909136066,0.01715057259658167,0.040733807978222236,0.05292650648636904,0.06313973468862086,0.12208584080809694,ACQ2,0.16904881094013102,0.03626625125148353,0.4283726971089335,0.06145231678546323,0.027108110814016775,0.08960651542721967,0.10689788512498138,0.0812474125477709,ACQ2
337,xxx,xxx,Acq2,5.1,1.51,1,1,0.23455670845214227,0.04849010093126633,0.41902212368067593,0.0173681956740023,0.041075587926291506,0.053068246371644597,0.06330882612021571,0.12311021084376099,ACQ2,0.16904881094013102,0.03626625125148353,0.4283726971089335,0.06145231678546323,0.027108110814016775,0.08960651542721967,0.10689788512498138,0.0812474125477709,ACQ2
337,xxx,xxx,Acq2,5.1,1.52,1,1,0.23673694008487997,0.04892891992617015,0.41446683600289613,0.0175953796551987,0.041422407292314146,0.05321542563637598,0.0634844065683452,0.12414968483381965,ACQ2,0.16904881094013102,0.03626625125148353,0.4283726971089335,0.06145231678546323,0.027108110814016775,0.08960651542721967,0.10689788512498138,0.0812474125477709,ACQ2
337,xxx,xxx,Acq2,5.1,1.53,1,1,0.23891603347007873,0.04937292417265058,0.40986613892343593,0.01783235421158608,0.041774283006445284,0.053367785445072445,0.06366616725003275,0.12520431352069855,ACQ2,0.16904881094013102,0.03626625125148353,0.4283726971089335,0.06145231678546323,0.027108110814016775,0.08960651542721967,0.10689788512498138,0.0812474125477709,ACQ2
337,xxx,xxx,Acq2,5.1,1.54,1,1,0.24109322989031465,0.04982233929933798,0.4052208599391629,0.01807935839311993,0.04213122898536244,0.053525057173334036,0.06385378770442673,0.12627413861494138,ACQ2,0.16904881094013102,0.03626625125148353,0.4283726971089335,0.06145231678546323,0.027108110814016775,0.08960651542721967,0.10689788512498138,0.0812474125477709,ACQ2
337,xxx,xxx,Acq2,5.1,1.55,1,1,0.2432677750710426,0.05027739548238361,0.400531844025646,0.018336641136291583,0.04249325567139787,0.05368696195124333,0.06404693524808039,0.12735919141391452,ACQ2,0.16904881094013102,0.03626625125148353,0.4283726971089335,0.06145231678546323,0.027108110814016775,0.08960651542721967,0.10689788512498138,0.0812474125477709,ACQ2
337,xxx,xxx,Acq2,5.1,1.56,1,1,0.24543892080833496,0.05073832700730648,0.39579995485369157,0.018604461813994208,0.04286036954306198,0.053853210207603155,0.06424526443124137,0.12845949133476625,ACQ2,0.16904881094013102,0.03626625125148353,0.4283726971089335,0.06145231678546323,0.027108110814016775,0.08960651542721967,0.10689788512498138,0.0812474125477709,ACQ2
337,xxx,xxx,Acq2,5.1,1.57,1,1,0.24760592650621022,0.05120537178194677,0.3910260762071853,0.018883090829463812,0.04323257259741695,0.05402350121711341,0.06444841649764696,0.1295750443630165,ACQ2,0.16904881094013102,0.03626625125148353,0.4283726971089335,0.06145231678546323,0.027108110814016775,0.08960651542721967,0.10689788512498138,0.0812474125477709,ACQ2
337,xxx,xxx,Acq2,5.1,1.58,1,1,0.24976806060613452,0.05167877079871026,0.38621111361134874,0.019172810256506002,0.043609861804966815,0.05419752265287964,0.06465601885068047,0.13070584141877348,ACQ2,0.16904881094013102,0.03626625125148353,0.4283726971089335,0.06145231678546323,0.027108110814016775,0.08960651542721967,0.10689788512498138,0.0812474125477709,ACQ2
337,xxx,xxx,Acq2,5.1,1.59,1,1,0.2519246018905655,0.05215876754417415,0.38135599617977745,0.019473914528203212,0.043992228537950546,0.054374950146967554,0.06486768452912575,0.13185185664323573,ACQ2,0.16904881094013102,0.03626625125148353,0.4283726971089335,0.06145231678546323,0.027108110814016775,0.08960651542721967,0.10689788512498138,0.0812474125477709,ACQ2
337,xxx,xxx,Acq2,5.1,1.6,1,1,0.25407484064173674,0.05264560735398482,0.3764616786877978,0.019786711176254888,0.04437965797315901,0.05455544686206115,0.0650830116961685,0.13301304560883703,ACQ2,0.16904881094013102,0.03626625125148353,0.4283726971089335,0.06145231678546323,0.027108110814016775,0.08960651542721967,0.10689788512498138,0.0812474125477709,ACQ2
337,xxx,xxx,Acq2,5.1,1.61,1,1,0.25621807963626436,0.05313953671082444,0.3715291438787388,0.02011152162303004,0.0447721284706432,0.054738663077643454,0.0653015831457218,0.134189343457134,ACQ2,0.16904881094013102,0.03626625125148353,0.4283726971089335,0.06145231678546323,0.027108110814016775,0.08960651542721967,0.10689788512498138,0.0812474125477709,ACQ2
337,xxx,xxx,Acq2,5.1,1.62,1,1,0.25835363495559055,0.05364080248304596,0.36655940500868706,0.020448682028298658,0.04516961092994279,0.054924235794502056,0.06552296583061364,0.13538066296931928,ACQ2,0.16904881094013102,0.03626625125148353,0.4283726971089335,0.06145231678546323,0.027108110814016775,0.08960651542721967,0.10689788512498138,0.0812474125477709,ACQ2
337,xxx,xxx,Acq2,5.1,1.63,1,1,0.26048083659179533,0.05414965110138504,0.3615535086341454,0.020798544192450058,0.04557206812574151,0.05511178836176266,0.06574671041764879,0.1365868925750714,ACQ2,0.16904881094013102,0.03626625125148353,0.4283726971089335,0.06145231678546323,0.027108110814016775,0.08960651542721967,0.10689788512498138,0.0812474125477709,ACQ2
337,xxx,xxx,Acq2,5.1,1.64,1,1,0.2625990288279099,0.05466632767095355,0.35651253764573926,0.02116147651779342,0.04597945402514596,0.055300930131070625,0.06597235087505772,0.1378078943063298,ACQ2,0.16904881094013102,0.03626625125148353,0.4283726971089335,0.06145231678546323,0.027108110814016775,0.08960651542721967,0.10689788512498138,0.0812474125477709,ACQ2
